name	display_name	description
acarolinensis_homolog_chrom_end	Green anole chromosome/scaffold end (bp)	
acarolinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	
acarolinensis_homolog_subtype	Last common ancestor with Green anole	
acarolinensis_homolog_orthology_type	Green anole homology type	
acarolinensis_homolog_perc_id	%id. target Green anole gene identical to query gene	
acarolinensis_homolog_perc_id_r1	%id. query gene identical to target Green anole gene	
acarolinensis_homolog_goc_score	Green anole Gene-order conservation score	
acarolinensis_homolog_orthology_confidence	Green anole orthology confidence [0 low, 1 high]	
cporcellus_homolog_ensembl_gene	Guinea Pig gene stable ID	
cporcellus_homolog_associated_gene_name	Guinea Pig gene name	
cporcellus_homolog_ensembl_peptide	Guinea Pig protein or transcript stable ID	
cporcellus_homolog_chromosome	Guinea Pig chromosome/scaffold name	
cporcellus_homolog_chrom_start	Guinea Pig chromosome/scaffold start (bp)	
cporcellus_homolog_chrom_end	Guinea Pig chromosome/scaffold end (bp)	
cporcellus_homolog_canonical_transcript_protein	Query protein or transcript ID	
cporcellus_homolog_subtype	Last common ancestor with Guinea Pig	
cporcellus_homolog_orthology_type	Guinea Pig homology type	
cporcellus_homolog_perc_id	%id. target Guinea Pig gene identical to query gene	
cporcellus_homolog_perc_id_r1	%id. query gene identical to target Guinea Pig gene	
cporcellus_homolog_goc_score	Guinea Pig Gene-order conservation score	
cporcellus_homolog_wga_coverage	Guinea Pig Whole-genome alignment coverage	
cporcellus_homolog_orthology_confidence	Guinea Pig orthology confidence [0 low, 1 high]	
preticulata_homolog_ensembl_gene	Guppy gene stable ID	
preticulata_homolog_associated_gene_name	Guppy gene name	
preticulata_homolog_ensembl_peptide	Guppy protein or transcript stable ID	
preticulata_homolog_chromosome	Guppy chromosome/scaffold name	
preticulata_homolog_chrom_start	Guppy chromosome/scaffold start (bp)	
preticulata_homolog_chrom_end	Guppy chromosome/scaffold end (bp)	
preticulata_homolog_canonical_transcript_protein	Query protein or transcript ID	
preticulata_homolog_subtype	Last common ancestor with Guppy	
preticulata_homolog_orthology_type	Guppy homology type	
preticulata_homolog_perc_id	%id. target Guppy gene identical to query gene	
preticulata_homolog_perc_id_r1	%id. query gene identical to target Guppy gene	
preticulata_homolog_goc_score	Guppy Gene-order conservation score	
preticulata_homolog_wga_coverage	Guppy Whole-genome alignment coverage	
preticulata_homolog_orthology_confidence	Guppy orthology confidence [0 low, 1 high]	
eburgeri_homolog_ensembl_gene	Hagfish gene stable ID	
eburgeri_homolog_associated_gene_name	Hagfish gene name	
eburgeri_homolog_ensembl_peptide	Hagfish protein or transcript stable ID	
eburgeri_homolog_chromosome	Hagfish chromosome/scaffold name	
eburgeri_homolog_chrom_start	Hagfish chromosome/scaffold start (bp)	
eburgeri_homolog_chrom_end	Hagfish chromosome/scaffold end (bp)	
eburgeri_homolog_canonical_transcript_protein	Query protein or transcript ID	
eburgeri_homolog_subtype	Last common ancestor with Hagfish	
eburgeri_homolog_orthology_type	Hagfish homology type	
eburgeri_homolog_perc_id	%id. target Hagfish gene identical to query gene	
eburgeri_homolog_perc_id_r1	%id. query gene identical to target Hagfish gene	
eburgeri_homolog_wga_coverage	Hagfish Whole-genome alignment coverage	
eburgeri_homolog_orthology_confidence	Hagfish orthology confidence [0 low, 1 high]	
eeuropaeus_homolog_ensembl_gene	Hedgehog gene stable ID	
eeuropaeus_homolog_associated_gene_name	Hedgehog gene name	
eeuropaeus_homolog_ensembl_peptide	Hedgehog protein or transcript stable ID	
eeuropaeus_homolog_chromosome	Hedgehog chromosome/scaffold name	
eeuropaeus_homolog_chrom_start	Hedgehog chromosome/scaffold start (bp)	
eeuropaeus_homolog_chrom_end	Hedgehog chromosome/scaffold end (bp)	
eeuropaeus_homolog_canonical_transcript_protein	Query protein or transcript ID	
eeuropaeus_homolog_subtype	Last common ancestor with Hedgehog	
eeuropaeus_homolog_orthology_type	Hedgehog homology type	
eeuropaeus_homolog_perc_id	%id. target Hedgehog gene identical to query gene	
eeuropaeus_homolog_perc_id_r1	%id. query gene identical to target Hedgehog gene	
eeuropaeus_homolog_goc_score	Hedgehog Gene-order conservation score	
eeuropaeus_homolog_wga_coverage	Hedgehog Whole-genome alignment coverage	
eeuropaeus_homolog_orthology_confidence	Hedgehog orthology confidence [0 low, 1 high]	
ecaballus_homolog_ensembl_gene	Horse gene stable ID	
ecaballus_homolog_associated_gene_name	Horse gene name	
ecaballus_homolog_ensembl_peptide	Horse protein or transcript stable ID	
ecaballus_homolog_chromosome	Horse chromosome/scaffold name	
ecaballus_homolog_chrom_start	Horse chromosome/scaffold start (bp)	
ecaballus_homolog_chrom_end	Horse chromosome/scaffold end (bp)	
ecaballus_homolog_canonical_transcript_protein	Query protein or transcript ID	
ecaballus_homolog_subtype	Last common ancestor with Horse	
ecaballus_homolog_orthology_type	Horse homology type	
ecaballus_homolog_perc_id	%id. target Horse gene identical to query gene	
ecaballus_homolog_perc_id_r1	%id. query gene identical to target Horse gene	
ecaballus_homolog_goc_score	Horse Gene-order conservation score	
ecaballus_homolog_wga_coverage	Horse Whole-genome alignment coverage	
ecaballus_homolog_orthology_confidence	Horse orthology confidence [0 low, 1 high]	
hhucho_homolog_ensembl_gene	Huchen gene stable ID	
hhucho_homolog_associated_gene_name	Huchen gene name	
hhucho_homolog_ensembl_peptide	Huchen protein or transcript stable ID	
hhucho_homolog_chromosome	Huchen chromosome/scaffold name	
hhucho_homolog_chrom_start	Huchen chromosome/scaffold start (bp)	
hhucho_homolog_chrom_end	Huchen chromosome/scaffold end (bp)	
hhucho_homolog_canonical_transcript_protein	Query protein or transcript ID	
hhucho_homolog_subtype	Last common ancestor with Huchen	
hhucho_homolog_orthology_type	Huchen homology type	
hhucho_homolog_perc_id	%id. target Huchen gene identical to query gene	
hhucho_homolog_perc_id_r1	%id. query gene identical to target Huchen gene	
hhucho_homolog_goc_score	Huchen Gene-order conservation score	
hhucho_homolog_wga_coverage	Huchen Whole-genome alignment coverage	
hhucho_homolog_orthology_confidence	Huchen orthology confidence [0 low, 1 high]	
bihybrid_homolog_ensembl_gene	Hybrid - Bos Indicus gene stable ID	
bihybrid_homolog_associated_gene_name	Hybrid - Bos Indicus gene name	
bihybrid_homolog_ensembl_peptide	Hybrid - Bos Indicus protein or transcript stable ID	
bihybrid_homolog_chromosome	Hybrid - Bos Indicus chromosome/scaffold name	
bihybrid_homolog_chrom_start	Hybrid - Bos Indicus chromosome/scaffold start (bp)	
bihybrid_homolog_chrom_end	Hybrid - Bos Indicus chromosome/scaffold end (bp)	
bihybrid_homolog_canonical_transcript_protein	Query protein or transcript ID	
bihybrid_homolog_subtype	Last common ancestor with Hybrid - Bos Indicus	
bihybrid_homolog_orthology_type	Hybrid - Bos Indicus homology type	
bihybrid_homolog_perc_id	%id. target Hybrid - Bos Indicus gene identical to query gene	
bihybrid_homolog_perc_id_r1	%id. query gene identical to target Hybrid - Bos Indicus gene	
bihybrid_homolog_goc_score	Hybrid - Bos Indicus Gene-order conservation score	
bihybrid_homolog_wga_coverage	Hybrid - Bos Indicus Whole-genome alignment coverage	
bihybrid_homolog_orthology_confidence	Hybrid - Bos Indicus orthology confidence [0 low, 1 high]	
pcapensis_homolog_ensembl_gene	Hyrax gene stable ID	
pcapensis_homolog_associated_gene_name	Hyrax gene name	
pcapensis_homolog_ensembl_peptide	Hyrax protein or transcript stable ID	
pcapensis_homolog_chromosome	Hyrax chromosome/scaffold name	
pcapensis_homolog_chrom_start	Hyrax chromosome/scaffold start (bp)	
pcapensis_homolog_chrom_end	Hyrax chromosome/scaffold end (bp)	
pcapensis_homolog_canonical_transcript_protein	Query protein or transcript ID	
pcapensis_homolog_subtype	Last common ancestor with Hyrax	
pcapensis_homolog_orthology_type	Hyrax homology type	
pcapensis_homolog_perc_id	%id. target Hyrax gene identical to query gene	
pcapensis_homolog_perc_id_r1	%id. query gene identical to target Hyrax gene	
pcapensis_homolog_goc_score	Hyrax Gene-order conservation score	
pcapensis_homolog_wga_coverage	Hyrax Whole-genome alignment coverage	
pcapensis_homolog_orthology_confidence	Hyrax orthology confidence [0 low, 1 high]	
nnaja_homolog_ensembl_gene	Indian cobra gene stable ID	
nnaja_homolog_associated_gene_name	Indian cobra gene name	
nnaja_homolog_ensembl_peptide	Indian cobra protein or transcript stable ID	
nnaja_homolog_chromosome	Indian cobra chromosome/scaffold name	
nnaja_homolog_chrom_start	Indian cobra chromosome/scaffold start (bp)	
nnaja_homolog_chrom_end	Indian cobra chromosome/scaffold end (bp)	
nnaja_homolog_canonical_transcript_protein	Query protein or transcript ID	
nnaja_homolog_subtype	Last common ancestor with Indian cobra	
nnaja_homolog_orthology_type	Indian cobra homology type	
nnaja_homolog_perc_id	%id. target Indian cobra gene identical to query gene	
nnaja_homolog_perc_id_r1	%id. query gene identical to target Indian cobra gene	
nnaja_homolog_goc_score	Indian cobra Gene-order conservation score	
nnaja_homolog_wga_coverage	Indian cobra Whole-genome alignment coverage	
nnaja_homolog_orthology_confidence	Indian cobra orthology confidence [0 low, 1 high]	
omelastigma_homolog_ensembl_gene	Indian medaka gene stable ID	
omelastigma_homolog_associated_gene_name	Indian medaka gene name	
omelastigma_homolog_ensembl_peptide	Indian medaka protein or transcript stable ID	
omelastigma_homolog_chromosome	Indian medaka chromosome/scaffold name	
omelastigma_homolog_chrom_start	Indian medaka chromosome/scaffold start (bp)	
omelastigma_homolog_chrom_end	Indian medaka chromosome/scaffold end (bp)	
omelastigma_homolog_canonical_transcript_protein	Query protein or transcript ID	
omelastigma_homolog_subtype	Last common ancestor with Indian medaka	
omelastigma_homolog_orthology_type	Indian medaka homology type	
omelastigma_homolog_perc_id	%id. target Indian medaka gene identical to query gene	
omelastigma_homolog_perc_id_r1	%id. query gene identical to target Indian medaka gene	
omelastigma_homolog_goc_score	Indian medaka Gene-order conservation score	
omelastigma_homolog_wga_coverage	Indian medaka Whole-genome alignment coverage	
omelastigma_homolog_orthology_confidence	Indian medaka orthology confidence [0 low, 1 high]	
olatipes_homolog_ensembl_gene	Japanese medaka HdrR gene stable ID	
olatipes_homolog_associated_gene_name	Japanese medaka HdrR gene name	
olatipes_homolog_ensembl_peptide	Japanese medaka HdrR protein or transcript stable ID	
olatipes_homolog_chromosome	Japanese medaka HdrR chromosome/scaffold name	
olatipes_homolog_chrom_start	Japanese medaka HdrR chromosome/scaffold start (bp)	
olatipes_homolog_chrom_end	Japanese medaka HdrR chromosome/scaffold end (bp)	
olatipes_homolog_canonical_transcript_protein	Query protein or transcript ID	
olatipes_homolog_subtype	Last common ancestor with Japanese medaka HdrR	
olatipes_homolog_orthology_type	Japanese medaka HdrR homology type	
olatipes_homolog_perc_id	%id. target Japanese medaka HdrR gene identical to query gene	
olatipes_homolog_perc_id_r1	%id. query gene identical to target Japanese medaka HdrR gene	
olatipes_homolog_goc_score	Japanese medaka HdrR Gene-order conservation score	
olatipes_homolog_wga_coverage	Japanese medaka HdrR Whole-genome alignment coverage	
olatipes_homolog_orthology_confidence	Japanese medaka HdrR orthology confidence [0 low, 1 high]	
cjaponica_homolog_ensembl_gene	Japanese quail gene stable ID	
cjaponica_homolog_associated_gene_name	Japanese quail gene name	
cjaponica_homolog_ensembl_peptide	Japanese quail protein or transcript stable ID	
cjaponica_homolog_chromosome	Japanese quail chromosome/scaffold name	
cjaponica_homolog_chrom_start	Japanese quail chromosome/scaffold start (bp)	
cjaponica_homolog_chrom_end	Japanese quail chromosome/scaffold end (bp)	
cjaponica_homolog_canonical_transcript_protein	Query protein or transcript ID	
cjaponica_homolog_subtype	Last common ancestor with Japanese quail	
cjaponica_homolog_orthology_type	Japanese quail homology type	
cjaponica_homolog_perc_id	%id. target Japanese quail gene identical to query gene	
cjaponica_homolog_perc_id_r1	%id. query gene identical to target Japanese quail gene	
cjaponica_homolog_goc_score	Japanese quail Gene-order conservation score	
cjaponica_homolog_wga_coverage	Japanese quail Whole-genome alignment coverage	
cjaponica_homolog_orthology_confidence	Japanese quail orthology confidence [0 low, 1 high]	
ojavanicus_homolog_ensembl_gene	Javanese ricefish gene stable ID	
ojavanicus_homolog_associated_gene_name	Javanese ricefish gene name	
ojavanicus_homolog_ensembl_peptide	Javanese ricefish protein or transcript stable ID	
ojavanicus_homolog_chromosome	Javanese ricefish chromosome/scaffold name	
ojavanicus_homolog_chrom_start	Javanese ricefish chromosome/scaffold start (bp)	
ojavanicus_homolog_chrom_end	Javanese ricefish chromosome/scaffold end (bp)	
ojavanicus_homolog_canonical_transcript_protein	Query protein or transcript ID	
ojavanicus_homolog_subtype	Last common ancestor with Javanese ricefish	
ojavanicus_homolog_orthology_type	Javanese ricefish homology type	
ojavanicus_homolog_perc_id	%id. target Javanese ricefish gene identical to query gene	
ojavanicus_homolog_perc_id_r1	%id. query gene identical to target Javanese ricefish gene	
ojavanicus_homolog_goc_score	Javanese ricefish Gene-order conservation score	
ojavanicus_homolog_wga_coverage	Javanese ricefish Whole-genome alignment coverage	
ojavanicus_homolog_orthology_confidence	Javanese ricefish orthology confidence [0 low, 1 high]	
shabroptila_homolog_ensembl_gene	Kakapo gene stable ID	
shabroptila_homolog_associated_gene_name	Kakapo gene name	
shabroptila_homolog_ensembl_peptide	Kakapo protein or transcript stable ID	
shabroptila_homolog_chromosome	Kakapo chromosome/scaffold name	
shabroptila_homolog_chrom_start	Kakapo chromosome/scaffold start (bp)	
shabroptila_homolog_chrom_end	Kakapo chromosome/scaffold end (bp)	
shabroptila_homolog_canonical_transcript_protein	Query protein or transcript ID	
shabroptila_homolog_subtype	Last common ancestor with Kakapo	
shabroptila_homolog_orthology_type	Kakapo homology type	
shabroptila_homolog_perc_id	%id. target Kakapo gene identical to query gene	
shabroptila_homolog_perc_id_r1	%id. query gene identical to target Kakapo gene	
shabroptila_homolog_goc_score	Kakapo Gene-order conservation score	
shabroptila_homolog_wga_coverage	Kakapo Whole-genome alignment coverage	
shabroptila_homolog_orthology_confidence	Kakapo orthology confidence [0 low, 1 high]	
dordii_homolog_ensembl_gene	Kangaroo rat gene stable ID	
dordii_homolog_associated_gene_name	Kangaroo rat gene name	
dordii_homolog_ensembl_peptide	Kangaroo rat protein or transcript stable ID	
dordii_homolog_chromosome	Kangaroo rat chromosome/scaffold name	
dordii_homolog_chrom_start	Kangaroo rat chromosome/scaffold start (bp)	
dordii_homolog_chrom_end	Kangaroo rat chromosome/scaffold end (bp)	
dordii_homolog_canonical_transcript_protein	Query protein or transcript ID	
dordii_homolog_subtype	Last common ancestor with Kangaroo rat	
dordii_homolog_orthology_type	Kangaroo rat homology type	
dordii_homolog_perc_id	%id. target Kangaroo rat gene identical to query gene	
dordii_homolog_perc_id_r1	%id. query gene identical to target Kangaroo rat gene	
dordii_homolog_goc_score	Kangaroo rat Gene-order conservation score	
dordii_homolog_wga_coverage	Kangaroo rat Whole-genome alignment coverage	
dordii_homolog_orthology_confidence	Kangaroo rat orthology confidence [0 low, 1 high]	
pcinereus_homolog_ensembl_gene	Koala gene stable ID	
pcinereus_homolog_associated_gene_name	Koala gene name	
pcinereus_homolog_ensembl_peptide	Koala protein or transcript stable ID	
pcinereus_homolog_chromosome	Koala chromosome/scaffold name	
pcinereus_homolog_chrom_start	Koala chromosome/scaffold start (bp)	
pcinereus_homolog_chrom_end	Koala chromosome/scaffold end (bp)	
pcinereus_homolog_canonical_transcript_protein	Query protein or transcript ID	
pcinereus_homolog_subtype	Last common ancestor with Koala	
pcinereus_homolog_orthology_type	Koala homology type	
pcinereus_homolog_perc_id	%id. target Koala gene identical to query gene	
pcinereus_homolog_perc_id_r1	%id. query gene identical to target Koala gene	
pcinereus_homolog_goc_score	Koala Gene-order conservation score	
pcinereus_homolog_wga_coverage	Koala Whole-genome alignment coverage	
pcinereus_homolog_orthology_confidence	Koala orthology confidence [0 low, 1 high]	
pmarinus_homolog_ensembl_gene	Lamprey gene stable ID	
pmarinus_homolog_associated_gene_name	Lamprey gene name	
pmarinus_homolog_ensembl_peptide	Lamprey protein or transcript stable ID	
pmarinus_homolog_chromosome	Lamprey chromosome/scaffold name	
pmarinus_homolog_chrom_start	Lamprey chromosome/scaffold start (bp)	
pmarinus_homolog_chrom_end	Lamprey chromosome/scaffold end (bp)	
pmarinus_homolog_canonical_transcript_protein	Query protein or transcript ID	
pmarinus_homolog_subtype	Last common ancestor with Lamprey	
pmarinus_homolog_orthology_type	Lamprey homology type	
pmarinus_homolog_perc_id	%id. target Lamprey gene identical to query gene	
pmarinus_homolog_perc_id_r1	%id. query gene identical to target Lamprey gene	
pmarinus_homolog_wga_coverage	Lamprey Whole-genome alignment coverage	
pmarinus_homolog_orthology_confidence	Lamprey orthology confidence [0 low, 1 high]	
lcrocea_homolog_ensembl_gene	Large yellow croaker gene stable ID	
lcrocea_homolog_associated_gene_name	Large yellow croaker gene name	
lcrocea_homolog_ensembl_peptide	Large yellow croaker protein or transcript stable ID	
lcrocea_homolog_chromosome	Large yellow croaker chromosome/scaffold name	
lcrocea_homolog_chrom_start	Large yellow croaker chromosome/scaffold start (bp)	
lcrocea_homolog_chrom_end	Large yellow croaker chromosome/scaffold end (bp)	
lcrocea_homolog_canonical_transcript_protein	Query protein or transcript ID	
lcrocea_homolog_subtype	Last common ancestor with Large yellow croaker	
lcrocea_homolog_orthology_type	Large yellow croaker homology type	
lcrocea_homolog_perc_id	%id. target Large yellow croaker gene identical to query gene	
lcrocea_homolog_perc_id_r1	%id. query gene identical to target Large yellow croaker gene	
lcrocea_homolog_goc_score	Large yellow croaker Gene-order conservation score	
lcrocea_homolog_wga_coverage	Large yellow croaker Whole-genome alignment coverage	
lcrocea_homolog_orthology_confidence	Large yellow croaker orthology confidence [0 low, 1 high]	
lleishanense_homolog_ensembl_gene	Leishan spiny toad gene stable ID	
lleishanense_homolog_associated_gene_name	Leishan spiny toad gene name	
lleishanense_homolog_ensembl_peptide	Leishan spiny toad protein or transcript stable ID	
lleishanense_homolog_chromosome	Leishan spiny toad chromosome/scaffold name	
lleishanense_homolog_chrom_start	Leishan spiny toad chromosome/scaffold start (bp)	
lleishanense_homolog_chrom_end	Leishan spiny toad chromosome/scaffold end (bp)	
lleishanense_homolog_canonical_transcript_protein	Query protein or transcript ID	
lleishanense_homolog_subtype	Last common ancestor with Leishan spiny toad	
lleishanense_homolog_orthology_type	Leishan spiny toad homology type	
lleishanense_homolog_perc_id	%id. target Leishan spiny toad gene identical to query gene	
lleishanense_homolog_perc_id_r1	%id. query gene identical to target Leishan spiny toad gene	
lleishanense_homolog_goc_score	Leishan spiny toad Gene-order conservation score	
lleishanense_homolog_wga_coverage	Leishan spiny toad Whole-genome alignment coverage	
lleishanense_homolog_orthology_confidence	Leishan spiny toad orthology confidence [0 low, 1 high]	
ppardus_homolog_ensembl_gene	Leopard gene stable ID	
ppardus_homolog_associated_gene_name	Leopard gene name	
ppardus_homolog_ensembl_peptide	Leopard protein or transcript stable ID	
ppardus_homolog_chromosome	Leopard chromosome/scaffold name	
ppardus_homolog_chrom_start	Leopard chromosome/scaffold start (bp)	
ppardus_homolog_chrom_end	Leopard chromosome/scaffold end (bp)	
ppardus_homolog_canonical_transcript_protein	Query protein or transcript ID	
ppardus_homolog_subtype	Last common ancestor with Leopard	
ppardus_homolog_orthology_type	Leopard homology type	
ppardus_homolog_perc_id	%id. target Leopard gene identical to query gene	
ppardus_homolog_perc_id_r1	%id. query gene identical to target Leopard gene	
ppardus_homolog_goc_score	Leopard Gene-order conservation score	
ppardus_homolog_wga_coverage	Leopard Whole-genome alignment coverage	
ppardus_homolog_orthology_confidence	Leopard orthology confidence [0 low, 1 high]	
jjaculus_homolog_ensembl_gene	Lesser Egyptian jerboa gene stable ID	
jjaculus_homolog_associated_gene_name	Lesser Egyptian jerboa gene name	
jjaculus_homolog_ensembl_peptide	Lesser Egyptian jerboa protein or transcript stable ID	
jjaculus_homolog_chromosome	Lesser Egyptian jerboa chromosome/scaffold name	
jjaculus_homolog_chrom_start	Lesser Egyptian jerboa chromosome/scaffold start (bp)	
jjaculus_homolog_chrom_end	Lesser Egyptian jerboa chromosome/scaffold end (bp)	
jjaculus_homolog_canonical_transcript_protein	Query protein or transcript ID	
jjaculus_homolog_subtype	Last common ancestor with Lesser Egyptian jerboa	
jjaculus_homolog_orthology_type	Lesser Egyptian jerboa homology type	
jjaculus_homolog_perc_id	%id. target Lesser Egyptian jerboa gene identical to query gene	
jjaculus_homolog_perc_id_r1	%id. query gene identical to target Lesser Egyptian jerboa gene	
jjaculus_homolog_goc_score	Lesser Egyptian jerboa Gene-order conservation score	
jjaculus_homolog_wga_coverage	Lesser Egyptian jerboa Whole-genome alignment coverage	
jjaculus_homolog_orthology_confidence	Lesser Egyptian jerboa orthology confidence [0 low, 1 high]	
etelfairi_homolog_ensembl_gene	Lesser hedgehog tenrec gene stable ID	
etelfairi_homolog_associated_gene_name	Lesser hedgehog tenrec gene name	
etelfairi_homolog_ensembl_peptide	Lesser hedgehog tenrec protein or transcript stable ID	
etelfairi_homolog_chromosome	Lesser hedgehog tenrec chromosome/scaffold name	
etelfairi_homolog_chrom_start	Lesser hedgehog tenrec chromosome/scaffold start (bp)	
etelfairi_homolog_chrom_end	Lesser hedgehog tenrec chromosome/scaffold end (bp)	
etelfairi_homolog_canonical_transcript_protein	Query protein or transcript ID	
etelfairi_homolog_subtype	Last common ancestor with Lesser hedgehog tenrec	
etelfairi_homolog_orthology_type	Lesser hedgehog tenrec homology type	
etelfairi_homolog_perc_id	%id. target Lesser hedgehog tenrec gene identical to query gene	
etelfairi_homolog_perc_id_r1	%id. query gene identical to target Lesser hedgehog tenrec gene	
etelfairi_homolog_goc_score	Lesser hedgehog tenrec Gene-order conservation score	
etelfairi_homolog_wga_coverage	Lesser hedgehog tenrec Whole-genome alignment coverage	
etelfairi_homolog_orthology_confidence	Lesser hedgehog tenrec orthology confidence [0 low, 1 high]	
pleo_homolog_ensembl_gene	Lion gene stable ID	
pleo_homolog_associated_gene_name	Lion gene name	
pleo_homolog_ensembl_peptide	Lion protein or transcript stable ID	
pleo_homolog_chromosome	Lion chromosome/scaffold name	
pleo_homolog_chrom_start	Lion chromosome/scaffold start (bp)	
pleo_homolog_chrom_end	Lion chromosome/scaffold end (bp)	
pleo_homolog_canonical_transcript_protein	Query protein or transcript ID	
pleo_homolog_subtype	Last common ancestor with Lion	
pleo_homolog_orthology_type	Lion homology type	
pleo_homolog_perc_id	%id. target Lion gene identical to query gene	
pleo_homolog_perc_id_r1	%id. query gene identical to target Lion gene	
pleo_homolog_goc_score	Lion Gene-order conservation score	
pleo_homolog_wga_coverage	Lion Whole-genome alignment coverage	
pleo_homolog_orthology_confidence	Lion orthology confidence [0 low, 1 high]	
clanigera_homolog_ensembl_gene	Long-tailed chinchilla gene stable ID	
clanigera_homolog_associated_gene_name	Long-tailed chinchilla gene name	
clanigera_homolog_ensembl_peptide	Long-tailed chinchilla protein or transcript stable ID	
clanigera_homolog_chromosome	Long-tailed chinchilla chromosome/scaffold name	
clanigera_homolog_chrom_start	Long-tailed chinchilla chromosome/scaffold start (bp)	
clanigera_homolog_chrom_end	Long-tailed chinchilla chromosome/scaffold end (bp)	
clanigera_homolog_canonical_transcript_protein	Query protein or transcript ID	
clanigera_homolog_subtype	Last common ancestor with Long-tailed chinchilla	
clanigera_homolog_orthology_type	Long-tailed chinchilla homology type	
clanigera_homolog_perc_id	%id. target Long-tailed chinchilla gene identical to query gene	
clanigera_homolog_perc_id_r1	%id. query gene identical to target Long-tailed chinchilla gene	
clanigera_homolog_goc_score	Long-tailed chinchilla Gene-order conservation score	
clanigera_homolog_wga_coverage	Long-tailed chinchilla Whole-genome alignment coverage	
clanigera_homolog_orthology_confidence	Long-tailed chinchilla orthology confidence [0 low, 1 high]	
clumpus_homolog_ensembl_gene	Lumpfish gene stable ID	
clumpus_homolog_associated_gene_name	Lumpfish gene name	
clumpus_homolog_ensembl_peptide	Lumpfish protein or transcript stable ID	
clumpus_homolog_chromosome	Lumpfish chromosome/scaffold name	
clumpus_homolog_chrom_start	Lumpfish chromosome/scaffold start (bp)	
clumpus_homolog_chrom_end	Lumpfish chromosome/scaffold end (bp)	
clumpus_homolog_canonical_transcript_protein	Query protein or transcript ID	
clumpus_homolog_subtype	Last common ancestor with Lumpfish	
clumpus_homolog_orthology_type	Lumpfish homology type	
clumpus_homolog_perc_id	%id. target Lumpfish gene identical to query gene	
clumpus_homolog_perc_id_r1	%id. query gene identical to target Lumpfish gene	
clumpus_homolog_goc_score	Lumpfish Gene-order conservation score	
clumpus_homolog_wga_coverage	Lumpfish Whole-genome alignment coverage	
clumpus_homolog_orthology_confidence	Lumpfish orthology confidence [0 low, 1 high]	
nbrichardi_homolog_ensembl_gene	Lyretail cichlid gene stable ID	
nbrichardi_homolog_associated_gene_name	Lyretail cichlid gene name	
nbrichardi_homolog_ensembl_peptide	Lyretail cichlid protein or transcript stable ID	
nbrichardi_homolog_chromosome	Lyretail cichlid chromosome/scaffold name	
nbrichardi_homolog_chrom_start	Lyretail cichlid chromosome/scaffold start (bp)	
nbrichardi_homolog_chrom_end	Lyretail cichlid chromosome/scaffold end (bp)	
nbrichardi_homolog_canonical_transcript_protein	Query protein or transcript ID	
nbrichardi_homolog_subtype	Last common ancestor with Lyretail cichlid	
nbrichardi_homolog_orthology_type	Lyretail cichlid homology type	
nbrichardi_homolog_perc_id	%id. target Lyretail cichlid gene identical to query gene	
nbrichardi_homolog_perc_id_r1	%id. query gene identical to target Lyretail cichlid gene	
nbrichardi_homolog_goc_score	Lyretail cichlid Gene-order conservation score	
nbrichardi_homolog_wga_coverage	Lyretail cichlid Whole-genome alignment coverage	
nbrichardi_homolog_orthology_confidence	Lyretail cichlid orthology confidence [0 low, 1 high]	
anancymaae_homolog_ensembl_gene	Ma's night monkey gene stable ID	
anancymaae_homolog_associated_gene_name	Ma's night monkey gene name	
anancymaae_homolog_ensembl_peptide	Ma's night monkey protein or transcript stable ID	
anancymaae_homolog_chromosome	Ma's night monkey chromosome/scaffold name	
anancymaae_homolog_chrom_start	Ma's night monkey chromosome/scaffold start (bp)	
anancymaae_homolog_chrom_end	Ma's night monkey chromosome/scaffold end (bp)	
anancymaae_homolog_canonical_transcript_protein	Query protein or transcript ID	
anancymaae_homolog_subtype	Last common ancestor with Ma's night monkey	
anancymaae_homolog_orthology_type	Ma's night monkey homology type	
anancymaae_homolog_perc_id	%id. target Ma's night monkey gene identical to query gene	
anancymaae_homolog_perc_id_r1	%id. query gene identical to target Ma's night monkey gene	
anancymaae_homolog_goc_score	Ma's night monkey Gene-order conservation score	
anancymaae_homolog_wga_coverage	Ma's night monkey Whole-genome alignment coverage	
anancymaae_homolog_orthology_confidence	Ma's night monkey orthology confidence [0 low, 1 high]	
mmulatta_homolog_ensembl_gene	Macaque gene stable ID	
mmulatta_homolog_associated_gene_name	Macaque gene name	
mmulatta_homolog_ensembl_peptide	Macaque protein or transcript stable ID	
mmulatta_homolog_chromosome	Macaque chromosome/scaffold name	
mmulatta_homolog_chrom_start	Macaque chromosome/scaffold start (bp)	
mmulatta_homolog_chrom_end	Macaque chromosome/scaffold end (bp)	
mmulatta_homolog_canonical_transcript_protein	Query protein or transcript ID	
mmulatta_homolog_subtype	Last common ancestor with Macaque	
mmulatta_homolog_orthology_type	Macaque homology type	
mmulatta_homolog_perc_id	%id. target Macaque gene identical to query gene	
mmulatta_homolog_perc_id_r1	%id. query gene identical to target Macaque gene	
mmulatta_homolog_goc_score	Macaque Gene-order conservation score	
mmulatta_homolog_wga_coverage	Macaque Whole-genome alignment coverage	
mmulatta_homolog_orthology_confidence	Macaque orthology confidence [0 low, 1 high]	
nscutatus_homolog_ensembl_gene	Mainland tiger snake gene stable ID	
nscutatus_homolog_associated_gene_name	Mainland tiger snake gene name	
